Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Youri Tielemans,Aston Villa,Midfielder,1.3,1.04,86,6,2.8,45.82,49,0.23,2.5,3,0.21,14.3,14.3,0.0,6.0,6,4,5.4499366286438535,0.3897841726618705,0.26694078947368416,0.10465753424657534,,,0.5
Bertrand Traoré,Aston Villa,Midfielder,0.1,0.4,20,1,2.5,1.65,1,0.4,0.75,2,0.35,4.0,4.0,0.0,5.0,1,1,1.2674271229404308,0.058992805755395686,0.016831140350877193,0.04328767123287671,,,1.25
Jaidon Anthony,Bournemouth,Midfielder,0.2,0.8,61,4,2.0,26.14,29,0.15,1.69,3,0.2,12.2,12.2,0.0,5.0,2,2,5.5153707052441225,0.22201438848920865,0.11474780701754386,0.1441095890410959,,3.0,1.31
Philip Billing,Bournemouth,Midfielder,0.9,1.11,126,14,3.5,49.46,54,0.29,4.6,7,0.23,22.9,22.9,0.0,5.5,9,5,11.39240506329114,0.4585611510791367,0.2199013157894737,0.24383561643835613,,5.0,2.4000000000000004
David Brooks,Bournemouth,Midfielder,0.1,1.06,5,0,0.8,4.4,4,0.0,0.33,0,0.28,1.0,1.0,0.0,5.0,0,1,0.45207956600361665,0.012661870503597123,0.015789473684210527,0.023013698630136983,,,-0.33
Ryan Christie,Bournemouth,Midfielder,0.0,1.08,64,2,2.0,30.87,35,0.15,2.89,1,0.24,12.8,12.8,0.0,5.0,3,2,5.786618444846293,0.20446043165467626,0.23218201754385964,0.2202739726027397,,,-1.8900000000000001
Lewis Cook,Bournemouth,Midfielder,0.0,0.95,51,1,1.8,32.09,39,0.16,0.24,0,0.13,10.2,10.2,0.0,5.0,3,4,4.61121157323689,0.2251798561151079,0.19325657894736842,0.024657534246575342,,,-0.24
Siriki Dembélé,Bournemouth,Midfielder,0.0,0.0,6,0,1.0,2.28,2,0.0,0.16,0,0.32,1.3,1.3,0.0,4.5,0,0,0.5424954792043399,0.02287769784172662,0.028673245614035083,0.015342465753424656,,,-0.16
Jamal Lowe,Bournemouth,Midfielder,0.0,0.0,2,0,1.0,0.62,0,0.0,0.0,0,0.08,0.4,0.4,0.0,5.0,0,0,0.18083182640144665,0.00014388489208633093,0.0001644736842105263,0.0,,,0.0
Emiliano Marcondes,Bournemouth,Midfielder,0.0,0.0,1,0,1.0,0.28,1,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.09041591320072333,0.0008633093525179857,0.0,0.0,,,0.0
Dango Ouattara,Bournemouth,Midfielder,0.1,1.09,49,4,2.6,25.86,23,0.07,3.52,1,0.38,9.8,9.8,0.0,5.0,1,1,4.430379746835443,0.20201438848920864,0.1439144736842105,0.1550684931506849,,,-2.52
Ben Pearson,Bournemouth,Midfielder,0.0,0.96,9,0,1.3,5.92,10,0.32,0.05,0,0.03,2.0,2.0,0.0,4.5,1,1,0.81374321880651,0.015107913669064749,0.0035087719298245615,0.004931506849315068,,,-0.05
